MAID	NAME	FORMULA	Ontology	INCHIKEY	SMILES	INSTRUMENTTYPE	ExactMass	PUBCHEM	Num_Spectra	Species	Cas	KEGG	Reaction	Pathway	Biospecimen	Healthcondition
MA000857	1-Aminocyclopropane-1-carboxylate	C4H7NO2	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	NC1(CC1)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	101.047678464	535	20	human|Arabidopsis thaliana	22059-21-8	C01234	R00179|R00997|R07214	map00270|map01060|map01070|map01100|map01110		
MA000858	1-Hydroxy-2-naphthoic acid	C11H8O3	Benzenoids|Naphthalenes|Naphthalenecarboxylic acids and derivatives	SJJCQDRGABAVBB-UHFFFAOYSA-N	O=C(O)C=1C=CC=2C=CC=CC2C1O	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	188.04734411599998	6844	12		86-48-6	C04160	R00600			
MA000859	10-Hydroxydecanoic acid	C10H20O3	Organic acids and derivatives|Hydroxy acids and derivatives|Medium-chain hydroxy acids and derivatives	YJCJVMMDTBEITC-UHFFFAOYSA-N	O=C(O)CCCCCCCCCO	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF	188.14124449999997	74300	11		1679-53-4	C02774	R03886			
MA000860	2',3'-Dideoxyinosine	C10H12N4O3	Nucleosides, nucleotides, and analogues|Purine nucleosides|Purine 2',3'-dideoxyribonucleosides	BXZVVICBKDXVGW-NKWVEPMBSA-N	OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O	ESI-QFT|ESI-QTOF	236.090940244	135398739	22	human	69655-05-6	C06953			urine	Peripheral neuropathy|Gastrointestinal disorders|Pancreatitis|Diarrhea
MA000861	Pyrocatechuic acid	C7H6O4	Benzenoids|Benzene and substituted derivatives|Benzoic acids and derivatives	GLDQAMYCGOIJDV-UHFFFAOYSA-N	OC(=O)C1=C(O)C(O)=CC=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	154.026608672	19	24	human|Bacillus subtilis|Escherichia coli|Streptomyces strain MI689-SF6|Erica carnea|Gaultheria procumbens|Rhododendron mucronatum|Rhododendron spp.|Gentiana lutea|Taxus baccata	303-38-8				urine	Idiopathic oro-facial pain
MA000862	2,3-Dihydroxybiphenyl	C12H10O2	Benzenoids|Benzene and substituted derivatives|Biphenyls and derivatives	YKOQAAJBYBTSBS-UHFFFAOYSA-N	OC1=CC=CC(C=2C=CC=CC2)=C1O	ESI-QFT|ESI-QTOF|GC-EI-TOF	186.06807956	254	4		1133-63-7	C02526	R03462|R03964|R05239	map00621|map01100|map01120|map01220		
MA000863	2,4-Dibromophenol	C6H4Br2O	Benzenoids|Phenols|Halophenols	FAXWFCTVSHEODL-UHFFFAOYSA-N	OC1=C(Br)C=C(Br)C=C1	ESI-QFT	249.862888948	12005	2	human	615-58-7	C14521	R12013|R12016			
MA000864	2,5-Dihydroxybenzaldehyde	C7H6O3	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	CLFRCXCBWIQVRN-UHFFFAOYSA-N	OC1=CC(C=O)=C(O)C=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF|GC-MS	138.03169405199998	70949	4	human	1194-98-5				proteins	
MA000865	2-Deoxyribose	C5H10O4	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	ASJSAQIRZKANQN-CRCLSJGQSA-N	O=CCC(O)C(O)CO	ESI-QFT	134.0579088	5460005	1		533-67-5					
MA000866	2-Furoic acid	C5H4O3	Organoheterocyclic compounds|Furans|Furoic acid and derivatives	SMNDYUVBFMFKNZ-UHFFFAOYSA-N	OC(=O)C1=CC=CO1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	112.01604398799999	6919	12	human|Phaseolus vulgaris|Eucalyptus viminalis	88-14-2	C01546	R02986|R10212|R10213	map00365|map01100|map01120	urine	
MA000867	2-Hydroxy-3-methylbutyric acid	C5H10O3	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	NGEWQZIDQIYUNV-UHFFFAOYSA-N	CC(C)C(O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ	118.06299417999999	99823	7	human	600-37-3				urine	
MA000868	2-Hydroxy-4-methylpentanoic acid	C6H12O3	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	LVRFTAZAXQPQHI-UHFFFAOYSA-N	CC(C)CC(O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ	132.078644244	92779	6	human	498-36-2				urine	
MA000869	Salicylaldehyde	C7H6O2	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	SMQUZDBALVYZAC-UHFFFAOYSA-N	OC1=CC=CC=C1C=O	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	122.036779432	6998	9	human|Anthemis aciphylla BOISS.var.discoidea BOISS|Brassica rapa|Cinnamomum versum|Camellia sinensis	90-02-8	C04349	R01542|R04383|R11035	map00040|map01100	feces	
MA000870	o-Coumaric acid	C9H8O3	Phenylpropanoids and polyketides|Cinnamic acids and derivatives|Hydroxycinnamic acids and derivatives	PMOWTIHVNWZYFI-AATRIKPKSA-N	OC(=O)C=CC1=CC=CC=C1O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	164.04734411599998	637540	26	human|Rhaponticum carthamoides|Dipteryx odorata|Gliricidia sepium|Martynia annua|Anthoxanthum puelii|Prunus avium|Prunus mahaleb|Citrus spp.	583-17-5	C01772	R02254|R03709|R03710	map00360|map00940|map01100|map01110|map01120		
MA000871	2-Hydroxyisobutyric acid	C4H8O3	Organic acids and derivatives|Hydroxy acids and derivatives|Alpha hydroxy acids and derivatives	BWLBGMIXKSTLSX-UHFFFAOYSA-N	CC(C)(O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|EI-B|GC-EI-TOF	104.04734411599999	11671	17	human	594-61-6	C09480			urine	Cancer|Lung cancer
MA000872	2-Hydroxynicotinic acid	C6H5NO3	Organoheterocyclic compounds|Pyridines and derivatives|Pyridinecarboxylic acids and derivatives	UEYQJQVBUVAELZ-UHFFFAOYSA-N	OC(=O)C1=CC=CNC1=O	ESI-QFT	139.02694301999998	69114	1	human	609-71-2				urine	
MA000873	2-Hydroxyphenylacetic acid	C8H8O3	Benzenoids|Benzene and substituted derivatives|Phenylacetic acids	CCVYRRGZDBSHFU-UHFFFAOYSA-N	OC(=O)CC1=CC=CC=C1O	ESI-QFT|ESI-QTOF|ESI-QQQ|EI-B|GC-EI-TOF|GC-MS	152.04734411599998	11970	24	human	614-75-5	C09782	R08500	map01066|map01110	urine	
MA000874	2-Ketogluconic acid	C12H24O9	Organic oxygen compounds|Organooxygen compounds|Carbohydrates and carbohydrate conjugates	VBUYCZFBVCCYFD-JJYYJPOSSA-N	O=C(O)C(=O)C(O)C(O)C(O)CO	ESI-QFT|ESI-QTOF|GC-EI-TOF	194.04265266	3035456	4		20248-27-5					
MA000875	2-Methylglutaric acid	C6H10O4	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	AQYCMVICBNBXNA-UHFFFAOYSA-N	CC(CCC(O)=O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	146.0579088	12046	13	human	617-62-9	C09860			urine	
MA000876	2-O-Methyladenosine	C11H15N5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	IQZWKGWOBPJWMX-IOSLPCCCSA-N	OCC1OC(N2C=NC=3C(=NC(=NC32)C)N)C(O)C1O	ESI-QFT|ESI-QTOF	281.11240396000005	459890	2		16526-56-0					
MA000877	3,4-Dihydroxybenzoic acid	C7H6O4	Benzenoids|Benzene and substituted derivatives|Benzoic acids and derivatives	YQUVCSBJEUQKSH-UHFFFAOYSA-N	OC(=O)C1=CC(O)=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	154.026608672	72	25	human|Cryptotympana sp.|Pseudomonas putida|Inonotus obliquus|Phellinus igniarius|Actinidia arguta|Actinidia callosa var.henryi|Actinidia chinensis|Actinidia chrysantha|Actinidia deliciosa|Actinidia eriantha|Actinidia glaucophylla|Actinidia latifolia|Actinidia polygama|Actinidia rubricaulis var.coriacea|Falcaria vulgaris|Ligusticum chuanxiong|Ostericum koreanum|Cryptolepis sinensis|Ilex chinensis|Amorphophallus konjac K.Koch|Pinellia ternata|Blumea balsamifera|Centaurea bracteata Scop.|Centaurea pseudoscabiosa subsp.pseudoscabiosa Boiss.et aBuhse|Inula britannica|Rhaponticum carthamoides|Begonia nantoensis|Opuntia dillenii HAW.|Calophyllum polyanthum|Cibotium barometz|Hylotelephium mingjinianum|Cyperus rotundus L.|Ephedra equisetina|Erica australis|Pyrola calliantha|Eriocaulon buergerianum|Eucommia ulmoides Oliver|Lespedeza bicolor|Dicranopteris pedata|Curculigo pilosa|Crocus sativus|Salvia bowleyana|Salvia bulleyana|Salvia castanea|Salvia digitaloides|Salvia flava|Salvia miltiorrhiza|Salvia plebeia|Salvia prionitis|Salvia przewalskii|Salvia sinica|Salvia sonchifolia|Salvia trijuga|Salvia yunnanensis|Cinnamomum cassia|Taxillus levinei|Gossypium hirsutum L.|Hibiscus sabdariffa L.|Theobroma cacao L.|Brosimopsis acutifolium|Eucalyptus grandis|Eugenia edulis|Myrciaria cauliflora|Bletilla formosana|Bulbophyllum vaginatum|Trachycarpus fortunei|Phyllanthus emblica|Picea ajanensis|Picea koraiensis|Picea obovata|Pseudolarix kaempferi Gord.|Picrorhiza kurrooa|Picrorhiza kurrosa|Plantago lanceolata|Plantago media|Veronica peregrina L.|Oryza sativa cv. Heugjinjubyeo|Fagopyrum spp|Fagopyrum spp.|Polygonum cuspidatum|Pyrrosia sheareri|Posidonia oceanica|Actaea racemosa|Rhamnus disperma|Cowania mexicana|Malus doumeri varl formosana|Rosa canina|Viscum articulactum|Viscum coloratum|Taxus baccata|Typha angustata|Vittaria anguste-elongata	99-50-3	C00230	R00822|R01296|R01298|R01627|R01628|R01629|R01630|R01631	map00362|map00623|map00624|map00627|map01053|map01061|map01100|map01110|map01120|map01220	urine	
MA000878	Homoprotocatechuic acid	C8H8O4	Benzenoids|Phenols|Benzenediols	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	OC(=O)CC1=CC(O)=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	168.042258736	547	17	human|Taxus baccata	102-32-9	C01161	R02698|R03299|R03300|R03302|R03303|R03304|R03306	map00350|map01100|map01120|map01220|map04728|map05030|map05031|map05034	urine	Endocrine disorders|Hypothyroidism
MA000879	3,4-Dihydroxyphenylglycol	C8H10O4	Benzenoids|Phenols|Benzenediols	MTVWFVDWRVYDOR-UHFFFAOYSA-N	OCC(O)C1=CC(O)=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	170.0579088	91528	13	human	3343-19-9				urine	Menkes disease
MA000880	3-(3-Hydroxyphenyl)propionic acid	C9H10O3	Phenylpropanoids and polyketides|Phenylpropanoic acids|	QVWAEZJXDYOKEH-UHFFFAOYSA-N	OC(=O)CCC1=CC=CC(O)=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	166.06299417999998	91	5	human	621-54-5	C11457	R06780|R06786	map00360|map01100|map01120|map01220	urine	
MA000881	p-Hydroxybenzyl alcohol	C7H8O2	Benzenoids|Benzene and substituted derivatives|Benzyl alcohols	OKVJCVWFVRATSG-UHFFFAOYSA-N	OCC1=CC=CC(O)=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF	124.052429496	102	3	human|Escherichia coli|Salmonella typhimurium	620-24-6	C03351	R04136|R07665	map00623|map01120|map01220		
MA000882	3-Hydroxy-3-methylglutaric acid	C6H10O5	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	NPOAOTPXWNWTSH-UHFFFAOYSA-N	CC(O)(CC(O)=O)CC(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	162.05282341999998	1662	39	human|Crotalaria dura|Crotalaria globifera	503-49-1	C03761	R02083|R02084		urine	
MA000883	3-Hydroxyaspartic acid	C4H7NO5	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	YYLQUHNPNCGKJQ-UHFFFAOYSA-N	O=C(O)C(O)C(N)C(=O)O	ESI-QFT|ESI-QQQ|GC-EI-TOF	149.032422324	5425	8		1860-87-3	C02389				
MA000884	3-Hydroxybutyric acid	C4H8O3	Organic acids and derivatives|Hydroxy acids and derivatives|Beta hydroxy acids and derivatives	WHBMMWSBFZVSSR-UHFFFAOYSA-N	CC(O)CC(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	104.04734411599999	441	13	human	300-85-6				urine	Schizophrenia|Anoxia|Diabetes mellitus type 2|Metabolism and nutrition disorders|Obesity
MA000885	3-Hydroxyglutaric acid	C5H8O5	Organic acids and derivatives|Hydroxy acids and derivatives|Beta hydroxy acids and derivatives	ZQHYXNSQOIDNTL-UHFFFAOYSA-N	OC(CC(O)=O)CC(O)=O	ESI-QFT	148.03717335599998	181976	1	human	638-18-6				urine	Aciduria|Metabolism and nutrition disorders|Glutaric aciduria type 1
MA000886	3-Hydroxypropanoic acid	C3H6O3	Organic acids and derivatives|Hydroxy acids and derivatives|Beta hydroxy acids and derivatives	ALRHLSYJTWAHJZ-UHFFFAOYSA-N	OCCC(O)=O	ESI-QFT|ESI-QQQ|GC-EI-TOF	90.03169405199999	68152	13	human	503-66-2	C01013	R01608|R03157|R03158|R09286|R09289	map00240|map00410|map00640|map00720|map01100|map01120|map01200	urine	Aciduria
MA000887	3-Hydroxyvaleric acid	C5H10O3	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	REKYPYSUBKSCAT-UHFFFAOYSA-N	CCC(O)CC(O)=O	ESI-QFT|ESI-QTOF	118.06299417999999	107802	3	human	10237-77-1				urine	
MA000888	3-Isochromanone	C9H8O2	Organoheterocyclic compounds|Benzopyrans|2-benzopyrans	ILHLUZUMRJQEAH-UHFFFAOYSA-N	O=C1OCC=2C=CC=CC2C1	ESI-QFT|GC-EI-TOF	148.052429496	78092	2		4385-35-7	C07728	R05437|R05438|R05539|R07803	map00624|map01120		
MA000889	3-Methyl-2-oxovaleric acid	C6H10O3	Organic acids and derivatives|Keto acids and derivatives|Short-chain keto acids and derivatives	JVQYSWDUAOAHFM-UHFFFAOYSA-N	CCC(C)C(=O)C(O)=O	ESI-QFT|ESI-QQQ|ESI-ITFT|EI-B|GC-EI-TOF	130.06299417999998	47	21	human	1460-34-0	C03465			urine	
MA000890	3-Methyladipic acid	C7H12O4	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	SYEOWUNSTUDKGM-UHFFFAOYSA-N	O=C(O)CCC(C)CC(=O)O	ESI-QFT|ESI-QTOF	160.073558864	12292	8		623-82-5	C10106				
MA000891	3-Methylcatechol	C7H8O2	Benzenoids|Phenols|Benzenediols	PGSWEKYNAOWQDF-UHFFFAOYSA-N	OC1=CC=CC(=C1O)C	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	124.052429496	340	4		488-17-5	C02923	R03566|R03608|R04088|R04089|R05309|R05314|R06915	map00622|map00623|map00626|map01100|map01120|map01220		
MA000892	3-Methylglutaric acid	C6H10O4	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	XJMMNTGIMDZPMU-UHFFFAOYSA-N	CC(CC(O)=O)CC(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ||GC-EI-TOF|EI-B|GC-MS	146.0579088	12284	16	human	626-51-7	C10098	R06807	map00944	urine	
MA000893	3-Methyluridine	C10H14N2O6	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	UTQUILVPBZEHTK-ZOQUXTDFSA-N	O=C1C=CN(C(=O)N1C)C2OC(CO)C(O)C2O	ESI-QFT|ESI-QTOF	258.085186168	99592	2		2140-69-4					
MA000894	3-Phenyllactic acid	C9H10O3	Phenylpropanoids and polyketides|Phenylpropanoic acids|	VOXXWSYKYCBWHO-UHFFFAOYSA-N	OC(CC1=CC=CC=C1)C(O)=O	ESI-QFT|ESI-QQQ|GC-EI-TOF|GC-MS	166.06299417999998	3848	27	human	828-01-3	C00569		map00572	urine	
MA000895	3-Trimethylsilylpropionic acid	C6H14O2Si	Organic acids and derivatives|Carboxylic acids and derivatives|Carboxylic acids	NONFLFDSOSZQHR-UHFFFAOYSA-N	O=C(O)CC[Si](C)(C)C	ESI-QFT|ESI-QTOF	146.076306218	79764	2		5683-30-7					
MA000896	4-Aminophenol	C6H7NO	Benzenoids|Benzene and substituted derivatives|Aniline and substituted anilines	PLIKAWJENQZMHA-UHFFFAOYSA-N	NC1=CC=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B	109.052763844	403	21	human	123-30-8	C02372	R02561|R02562|R05482|R05485|R06852	map00627|map01120	urine	Dizziness|Coma|General disorders and administration site conditions|Fatigue
MA000897	4-Hydroxy-3-methoxymandelic acid	C9H10O5	Benzenoids|Phenols|Methoxyphenols	CGQCWMIAEPEHNQ-UHFFFAOYSA-N	COC1=C(O)C=CC(=C1)C(O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	198.05282341999998	1245	18	human	55-10-7					
MA000898	4-Hydroxybenzoic acid	C7H6O3	Benzenoids|Benzene and substituted derivatives|Benzoic acids and derivatives	FJKROLUGYXJWQN-UHFFFAOYSA-N	OC(=O)C1=CC=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|ESI-ITFT|GC-EI-TOF|EI-B|GC-MS	138.03169405199998	135	43	human|Escherichia coli|Pseudomonas putida|Monascus pilosus BCRC38072|Thelephora aurantiotincta|Gomphrena celosioides|Anacardium occidentale|Polyalthia longifolia var.pendula|Falcaria vulgaris|Aristolochia elegans|Aristolochia manshuriensis|Artemisia minor|Conyza canadensis|Rhaponticum carthamoides|Saussurea muliensis|Taraxacum formosanum|Begonia nantoensis|Paratecoma peroba|Tabebuia avellanedae|Tabebuia impetiginosa|Lithospermum erythrorhizon|Dianthus superbus var.longicalycinus (MAXIM.) WILL|Drymaria diandra|Maytenus loevis|Microtropis fokienensis|Arabidopsis thaliana|Cyperus rotundus L.|Melilotus messanensis|Pterocarpus santalinus|Aeschynanthus bracteatus|Hydrangea chinensis|Anisomeles indica|Salvia officinalis|Vitex polygama|Cinnamomum subavenium MIQ.|Hibiscus taiwanensis|Malva silvestris|Soymida febrifuga|Xylocarpus granatum|Gymnadenia conopsea R.BR.|Paeonia peregrina|Euterpe precatoria|Pandanus odorus|Picea ajanensis|Picea obovata|Plantago lanceolata|Plantago media|Polygala caudata|Polytrichum commune|Posidonia oceanica|Protea obtusifolia|Ranunculus baudotii|Reseda muricata C.Presl.|Colubrina faralaotra subsp.trichocarpa.|Cowania mexicana|Spiraea formosana|Fagara macrophylla|Phellodendron amurense|Phellodendron japonicum MAXIM|Populus pseudosimonii|Viscum articulactum|Viscum coloratum|Taxus baccata|Vitis vinifera|Vittaria anguste-elongata|Curcuma domestica|Tribulus terrestris	99-96-7	C00156	R01238|R01293|R01294|R01295|R01296|R01297|R01298|R01299	map00130|map00362|map00363|map00623|map00627|map00790|map01061|map01100|map01110|map01120|map01220|map07110	urine	Supradiaphragmatic malignancy
MA000899	4-Hydroxy-benzeneacetonitrile	C8H7NO	Benzenoids|Benzene and substituted derivatives|Benzyl cyanides	AYKYOOPFBCOXSL-UHFFFAOYSA-N	OC1=CC=C(CC#N)C=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF|GC-MS	133.052763844	26548	4	human|Angelica furcijuga KITAGAWA|Brassica alba|Brassica hirta|Sorghum bicolor	14191-95-8	C03766	R02708|R04306			
MA000900	4-Hydroxymandelic acid	C8H8O4	Benzenoids|Phenols|1-hydroxy-2-unsubstituted benzenoids	YHXHKYRQLYQUIH-UHFFFAOYSA-N	OC(C(O)=O)C1=CC=C(O)C=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF	168.042258736	328	4	human	1198-84-1	C11527	R05778		urine	
MA000901	p-Hydroxyphenyl acetic acid	C8H8O3	Benzenoids|Phenols|1-hydroxy-2-unsubstituted benzenoids	XQXPVVBIMDBYFF-UHFFFAOYSA-N	OC(=O)CC1=CC=C(O)C=C1	ESI-QFT|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS|ESI-QTOF	152.04734411599998	127	29	human|Senecio scandens|Melilotus officinalis|Citrus limonia	156-38-7	C00642	R00042|R02514|R02516|R02695|R02697|R02698|R02699|R06790	map00350|map00360|map01100|map01120|map01220	urine	Schizophrenia|Epilepsy|Spina bifida|Cancer|Lung cancer
MA000902	4-Hydroxyphenylglycine	C8H9NO3	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	LJCWONGJFPCTTL-ZETCQYMHSA-N	O=C(O)C(N)C1=CC=C(O)C=C1	ESI-QFT|GC-EI-TOF|ESI-QTOF	167.05824314799997	36143	5		32462-30-9	C12323	R06626|R10880	map00261|map01055|map01100|map01110		
MA000903	4-Hydroxyphenyllactic acid	C9H10O4	Phenylpropanoids and polyketides|Phenylpropanoic acids|	JVGVDSSUAVXRDY-UHFFFAOYSA-N	OC(CC1=CC=C(O)C=C1)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	182.0579088	9378	18	human	306-23-0				urine	Supradiaphragmatic malignancy
MA000904	4-Isopropylbenzoic acid	C10H12O2	Lipids and lipid-like molecules|Prenol lipids|Monoterpenoids	CKMXAIVXVKGGFM-UHFFFAOYSA-N	CC(C)C1=CC=C(C=C1)C(O)=O	ESI-QFT|ESI-QQQ|GC-EI-TOF	164.083729624	10820	6	human|Cuminum cyminum|Ferula spp.|Perilla frutescens|Bridelia retusa	536-66-3	C08627	R08535	map01062|map01110		
MA000905	4-Methyl-2-oxopentanoic acid	C6H10O3	Organic acids and derivatives|Keto acids and derivatives|Short-chain keto acids and derivatives	BKAJNAXTPSGJCU-UHFFFAOYSA-N	CC(C)CC(=O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|ESI-ITFT|GC-EI-TOF|GC-MS|	130.06299418	70	31	human|Escherichia coli|Trigonella caerulea	816-66-0	C00233	R01088|R01090|R01651|R01652|R01702|R07601|R08566|R10052	map00280|map00290|map00966|map01100|map01110|map01210|map01230	urine	
MA000906	4-Methylcatechol	C7H8O2	Benzenoids|Phenols|Benzenediols	ZBCATMYQYDCTIZ-UHFFFAOYSA-N	CC1=CC=C(O)C(O)=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF	124.052429496	9958	9	human|Picea abies	452-86-8	C07756	R07402	map00311|map01110	urine	
MA000907	4-Nitrocatechol	C6H5NO4	Benzenoids|Phenols|Nitrophenols	XJNPNXSISMKQEX-UHFFFAOYSA-N	OC1=C(O)C=C(C=C1)[N+]([O-])=O	ESI-QFT|ESI-QTOF|GC-EI-TOF	155.02185764	3505109	4	human	3316-09-4	C02235	R03023|R05265	map00627|map01120		
MA000908	4-Nitrophenol	C6H5NO3	Benzenoids|Phenols|Nitrophenols	BTJIUGUIPKRLHP-UHFFFAOYSA-N	OC1=CC=C(C=C1)[N+]([O-])=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B	139.02694301999998	980	23	human	100-02-7	C00870	R03023|R03024|R05258|R05421|R05548	map00627|map01120		
MA000909	4-Vinylphenol	C8H8O	Benzenoids|Benzene and substituted derivatives|Styrenes	FUGYGGDSWSUORM-UHFFFAOYSA-N	OC1=CC=C(C=C)C=C1	ESI-QFT|GC-EI-TOF	120.057514876	62453	5	human	2628-17-3	C05627	R02952	map00940	proteins	
MA000910	5-Hydroxymethyluridine	C10H14N2O7	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	VQAJJNQKTRZJIQ-JXOAFFINSA-N	O=C1N=C(O)C(=CN1C2OC(CO)C(O)C2O)CO	ESI-QFT|ESI-QTOF	274.080100788	121698	2		30414-00-7					
MA000911	6-Azuridine	C8H11N3O6	Organic oxygen compounds|Organooxygen compounds|Carbohydrates and carbohydrate conjugates	WYXSYVWAUAUWLD-SHUUEZRQSA-N	O=C1N=C(O)C=NN1C2OC(CO)C(O)C2O	ESI-QFT|ESI-QTOF	245.06478507199998	5901	2		54-25-1	C02992	R03663	map00970		
MA000912	6-Hydroxynicotinic acid	C6H5NO3	Organoheterocyclic compounds|Pyridines and derivatives|Pyridinecarboxylic acids and derivatives	BLHCMGRVFXRYRN-UHFFFAOYSA-N	OC(=O)C1=CN=C(O)C=C1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	139.02694302	72924	31	human	5006-66-6				urine	
MA000913	9-Fluorenone	C13H8O	Benzenoids|Fluorenes|	YLQWCDOCJODRMT-UHFFFAOYSA-N	O=C1C=2C=CC=CC2C=3C=CC=CC13	ESI-QFT|ESI-ITFT|APCI-ITFT|GC-EI-TOF|EI-B	180.057514876	10241	10		486-25-9	C06712	R05349|R05350|R05435|R05436|R07799	map00624|map01100|map01120		
MA000914	9-Phenanthrenol	C14H10O	Benzenoids|Phenanthrenes and derivatives|Phenanthrols	DZKIUEHLEXLYKM-UHFFFAOYSA-N	OC1=CC2=CC=CC=C2C2=CC=CC=C12	ESI-QFT|GC-EI-TOF	194.07316494	10229	3	human	484-17-3	C11430	R07707|R07708	map00624|map01120	urine	
MA000915	Acetylenedicarboxylic acid	C4H2O4	Organic acids and derivatives|Carboxylic acids and derivatives|Dicarboxylic acids and derivatives	YTIVTFGABIZHHX-UHFFFAOYSA-N	O=C(O)C#CC(=O)O	ESI-QFT|ESI-QQQ	113.995308544	371	5		142-45-0	C03248	R00218|R04177	map00620		
MA000916	Acetylisatin	C10H7NO3	Organoheterocyclic compounds|Indoles and derivatives|	LPGDEHBASRKTDG-UHFFFAOYSA-N	O=C1C(=O)N(C(=O)C)C=2C=CC=CC12	ESI-QFT|ESI-QTOF|GC-EI-TOF	189.042593084	11321	9		574-17-4	C09129				
MA000917	Aconitic acid	C6H6O6	Organic acids and derivatives|Carboxylic acids and derivatives|Tricarboxylic acids and derivatives	GTZCVFVGUGFEME-HNQUOIGGSA-N	OC(=O)CC(=C/C(O)=O)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	174.016437912	444212	16	human	4023-65-8	C02341	R02244|R05763|R05764|R11749	map00660|map01100	urine	Cancer|Lung cancer
MA000918	Adipic acid	C6H10O4	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	WNLRTRBMVRJNCN-UHFFFAOYSA-N	OC(=O)CCCCC(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|ESI-ITFT|GC-EI-TOF|EI-B|GC-MS	146.0579088	196	19	human|Carica papaya|Beta vulgaris|Psidium guajava|Rubus idaeus	124-04-9				urine	Anorexia nervosa|Metabolism and nutrition disorders|Glutaric aciduria type 2
